Index,Alpha,Gamma,Reward Coef,Accuracy
177,0.9,0.9,16.0,1.0
178,0.9,0.9,17.0,1.0
179,0.9,0.9,18.0,1.0
180,0.9,0.9,19.0,1.0
181,0.9,0.9,20.0,1.0
182,0.9,0.9,21.0,1.0
183,0.9,0.9,22.0,1.0
184,0.9,0.9,23.0,1.0
185,0.9,0.9,24.0,1.0
186,0.9,0.9,25.0,1.0
187,0.9,0.9,26.0,1.0
188,0.9,0.9,27.0,1.0
189,0.9,0.9,28.0,1.0
190,0.9,0.9,29.0,0.8
191,0.9,0.9,30.0,0.8
192,0.9,0.9,31.0,0.8
193,0.9,0.9,32.0,0.8
194,0.9,0.9,33.0,0.8
195,0.9,0.9,34.0,0.8
196,0.9,0.9,35.0,0.8
197,0.9,0.9,36.0,0.8
198,0.9,0.9,37.0,0.8
199,0.9,0.9,38.0,0.8
200,0.9,0.9,39.0,0.8
201,1.0,0.9,0.0,0.8
202,1.0,0.9,1.0,1.0
203,1.0,0.9,2.0,1.0
204,1.0,0.9,3.0,1.0
205,1.0,0.9,4.0,1.0
206,1.0,0.9,5.0,1.0
207,1.0,0.9,6.0,1.0
208,1.0,0.9,7.0,1.0
209,1.0,0.9,8.0,1.0
210,1.0,0.9,9.0,1.0
211,1.0,0.9,10.0,1.0
212,1.0,0.9,11.0,1.0
213,1.0,0.9,12.0,1.0
214,1.0,0.9,13.0,1.0
215,1.0,0.9,14.0,1.0
216,1.0,0.9,15.0,1.0
217,1.0,0.9,16.0,1.0
218,1.0,0.9,17.0,1.0
219,1.0,0.9,18.0,1.0
220,1.0,0.9,19.0,1.0
221,1.0,0.9,20.0,1.0
222,1.0,0.9,21.0,1.0
223,1.0,0.9,22.0,1.0
224,1.0,0.9,23.0,1.0
225,1.0,0.9,24.0,1.0
226,1.0,0.9,25.0,1.0
227,1.0,0.9,26.0,1.0
228,1.0,0.9,27.0,1.0
229,1.0,0.9,28.0,1.0
230,1.0,0.9,29.0,0.8
231,1.0,0.9,30.0,0.8
232,1.0,0.9,31.0,0.8
233,1.0,0.9,32.0,0.8
234,1.0,0.9,33.0,0.8
235,1.0,0.9,34.0,0.8
236,1.0,0.9,35.0,0.8
237,1.0,0.9,36.0,0.8
238,1.0,0.9,37.0,0.8
239,1.0,0.9,38.0,0.8
240,1.0,0.9,39.0,0.8
241,0.9,0.9,0.0,0.6
242,0.9,0.9,1.0,0.8
243,0.9,0.9,2.0,1.0
244,0.9,0.9,3.0,1.0
245,0.9,0.9,4.0,1.0
246,0.9,0.9,5.0,0.8
247,0.9,0.9,6.0,1.0
248,0.9,0.9,7.0,1.0
249,0.9,0.9,8.0,1.0
250,0.9,0.9,9.0,1.0
251,0.9,0.9,10.0,1.0
252,0.9,0.9,11.0,1.0
253,0.9,0.9,12.0,0.8
254,0.9,0.9,13.0,1.0
255,0.9,0.9,14.0,1.0
256,0.9,0.9,15.0,1.0
257,0.9,0.9,16.0,1.0
258,0.9,0.9,17.0,1.0
259,0.9,0.9,18.0,1.0
260,0.9,0.9,19.0,1.0
261,0.9,0.9,20.0,1.0
262,0.9,0.9,21.0,1.0
263,0.9,0.9,22.0,1.0
264,0.9,0.9,23.0,1.0
265,0.9,0.9,24.0,1.0
266,0.9,0.9,25.0,1.0
267,0.9,0.9,26.0,1.0
268,0.9,0.9,27.0,0.8
269,0.9,0.9,28.0,1.0
270,0.9,0.9,29.0,0.8
271,0.9,0.9,30.0,0.8
272,0.9,0.9,31.0,0.8
273,0.9,0.9,32.0,0.8
274,0.9,0.9,33.0,0.8
275,0.9,0.9,34.0,0.8
276,0.9,0.9,35.0,0.8
277,0.9,0.9,36.0,0.8
278,0.9,0.9,37.0,0.8
279,0.9,0.9,38.0,0.8
280,0.9,0.9,39.0,0.8
281,1.0,0.9,0.0,1.0
282,1.0,0.9,1.0,1.0
283,1.0,0.9,2.0,1.0
284,1.0,0.9,3.0,1.0
285,1.0,0.9,4.0,1.0
286,1.0,0.9,5.0,1.0
287,1.0,0.9,6.0,1.0
288,1.0,0.9,7.0,1.0
289,1.0,0.9,8.0,1.0
290,1.0,0.9,9.0,1.0
291,1.0,0.9,10.0,1.0
292,1.0,0.9,11.0,1.0
293,1.0,0.9,12.0,1.0
294,1.0,0.9,13.0,1.0
295,1.0,0.9,14.0,1.0
296,1.0,0.9,15.0,1.0
297,1.0,0.9,16.0,1.0
298,1.0,0.9,17.0,1.0
299,1.0,0.9,18.0,1.0
300,1.0,0.9,19.0,1.0
301,1.0,0.9,20.0,1.0
302,1.0,0.9,21.0,1.0
303,1.0,0.9,22.0,1.0
304,1.0,0.9,23.0,1.0
305,1.0,0.9,24.0,1.0
306,1.0,0.9,25.0,1.0
307,1.0,0.9,26.0,1.0
308,1.0,0.9,27.0,1.0
309,1.0,0.9,28.0,0.8
310,1.0,0.9,29.0,0.8
311,1.0,0.9,30.0,0.8
312,1.0,0.9,31.0,0.8
313,1.0,0.9,32.0,0.8
314,1.0,0.9,33.0,0.8
315,1.0,0.9,34.0,0.8
316,1.0,0.9,35.0,0.8
317,1.0,0.9,36.0,0.8
318,1.0,0.9,37.0,0.8
319,1.0,0.9,38.0,0.8
320,1.0,0.9,39.0,0.8
321,0.9,0.9,0.0,0.8
322,0.9,0.9,1.0,1.0
323,0.9,0.9,2.0,1.0
324,0.9,0.9,3.0,1.0
325,0.9,0.9,4.0,1.0
326,0.9,0.9,5.0,1.0
327,0.9,0.9,6.0,1.0
328,0.9,0.9,7.0,1.0
329,0.9,0.9,8.0,1.0
330,0.9,0.9,9.0,1.0
331,0.9,0.9,10.0,1.0
332,0.9,0.9,11.0,1.0
333,0.9,0.9,12.0,1.0
334,0.9,0.9,13.0,1.0
335,0.9,0.9,14.0,1.0
336,0.9,0.9,15.0,1.0
337,0.9,0.9,16.0,1.0
338,0.9,0.9,17.0,1.0
339,0.9,0.9,18.0,1.0
340,0.9,0.9,19.0,1.0
341,0.9,0.9,20.0,1.0
342,0.9,0.9,21.0,1.0
343,0.9,0.9,22.0,1.0
344,0.9,0.9,23.0,1.0
345,0.9,0.9,24.0,1.0
346,0.9,0.9,25.0,1.0
347,0.9,0.9,26.0,1.0
348,0.9,0.9,27.0,1.0
349,0.9,0.9,28.0,1.0
350,0.9,0.9,29.0,0.8
351,0.9,0.9,30.0,0.8
352,0.9,0.9,31.0,0.8
353,0.9,0.9,32.0,0.8
354,0.9,0.9,33.0,0.8
355,0.9,0.9,34.0,0.8
356,0.9,0.9,35.0,0.8
357,0.9,0.9,36.0,0.8
358,0.9,0.9,37.0,0.8
359,0.9,0.9,38.0,0.8
360,0.9,0.9,39.0,0.8
361,1.0,0.9,0.0,1.0
362,1.0,0.9,1.0,1.0
363,1.0,0.9,2.0,1.0
364,1.0,0.9,3.0,1.0
365,1.0,0.9,4.0,1.0
366,1.0,0.9,5.0,1.0
367,1.0,0.9,6.0,1.0
368,1.0,0.9,7.0,1.0
369,1.0,0.9,8.0,0.8
370,1.0,0.9,9.0,1.0
371,1.0,0.9,10.0,1.0
372,1.0,0.9,11.0,1.0
373,1.0,0.9,12.0,1.0
374,1.0,0.9,13.0,1.0
375,1.0,0.9,14.0,1.0
376,1.0,0.9,15.0,0.8
377,1.0,0.9,16.0,1.0
378,1.0,0.9,17.0,1.0
379,1.0,0.9,18.0,1.0
380,1.0,0.9,19.0,1.0
381,1.0,0.9,20.0,1.0
382,1.0,0.9,21.0,1.0
383,1.0,0.9,22.0,1.0
384,1.0,0.9,23.0,1.0
385,1.0,0.9,24.0,1.0
386,1.0,0.9,25.0,1.0
387,1.0,0.9,26.0,1.0
388,1.0,0.9,27.0,1.0
389,1.0,0.9,28.0,1.0
390,1.0,0.9,29.0,0.8
391,1.0,0.9,30.0,0.8
392,1.0,0.9,31.0,0.8
393,1.0,0.9,32.0,0.8
394,1.0,0.9,33.0,0.8
395,1.0,0.9,34.0,0.8
396,1.0,0.9,35.0,0.8
397,1.0,0.9,36.0,0.8
398,1.0,0.9,37.0,0.8
399,1.0,0.9,38.0,0.8
400,1.0,0.9,39.0,0.8
401,0.9,0.9,0.0,0.8
402,0.9,0.9,1.0,1.0
403,0.9,0.9,2.0,1.0
404,0.9,0.9,3.0,1.0
405,0.9,0.9,4.0,1.0
406,0.9,0.9,5.0,1.0
407,0.9,0.9,6.0,1.0
408,0.9,0.9,7.0,1.0
409,0.9,0.9,8.0,1.0
410,0.9,0.9,9.0,1.0
411,0.9,0.9,10.0,1.0
412,0.9,0.9,11.0,1.0
413,0.9,0.9,12.0,1.0
414,0.9,0.9,13.0,1.0
415,0.9,0.9,14.0,1.0
416,0.9,0.9,15.0,1.0
417,0.9,0.9,16.0,1.0
418,0.9,0.9,17.0,1.0
419,0.9,0.9,18.0,1.0
420,0.9,0.9,19.0,1.0
421,0.9,0.9,20.0,1.0
422,0.9,0.9,21.0,1.0
423,0.9,0.9,22.0,1.0
424,0.9,0.9,23.0,1.0
425,0.9,0.9,24.0,1.0
426,0.9,0.9,25.0,1.0
427,0.9,0.9,26.0,1.0
428,0.9,0.9,27.0,0.8
429,0.9,0.9,28.0,1.0
430,0.9,0.9,29.0,0.8
431,0.9,0.9,30.0,0.8
432,0.9,0.9,31.0,0.8
433,0.9,0.9,32.0,0.8
434,0.9,0.9,33.0,0.8
435,0.9,0.9,34.0,0.8
436,0.9,0.9,35.0,0.8
437,0.9,0.9,36.0,0.8
438,0.9,0.9,37.0,0.8
439,0.9,0.9,38.0,0.8
440,0.9,0.9,39.0,0.8
441,1.0,0.9,0.0,0.8
442,1.0,0.9,1.0,0.8
443,1.0,0.9,2.0,1.0
444,1.0,0.9,3.0,1.0
445,1.0,0.9,4.0,1.0
446,1.0,0.9,5.0,1.0
447,1.0,0.9,6.0,1.0
448,1.0,0.9,7.0,1.0
449,1.0,0.9,8.0,1.0
450,1.0,0.9,9.0,1.0
451,1.0,0.9,10.0,1.0
452,1.0,0.9,11.0,1.0
453,1.0,0.9,12.0,1.0
454,1.0,0.9,13.0,1.0
455,1.0,0.9,14.0,1.0
456,1.0,0.9,15.0,1.0
457,1.0,0.9,16.0,1.0
458,1.0,0.9,17.0,1.0
459,1.0,0.9,18.0,1.0
460,1.0,0.9,19.0,1.0
461,1.0,0.9,20.0,1.0
462,1.0,0.9,21.0,1.0
463,1.0,0.9,22.0,1.0
464,1.0,0.9,23.0,1.0
465,1.0,0.9,24.0,1.0
466,1.0,0.9,25.0,1.0
467,1.0,0.9,26.0,1.0
468,1.0,0.9,27.0,1.0
469,1.0,0.9,28.0,1.0
470,1.0,0.9,29.0,0.8
471,1.0,0.9,30.0,0.8
472,1.0,0.9,31.0,0.8
473,1.0,0.9,32.0,0.8
474,1.0,0.9,33.0,0.8
475,1.0,0.9,34.0,0.8
476,1.0,0.9,35.0,0.8
477,1.0,0.9,36.0,0.8
478,1.0,0.9,37.0,0.8
479,1.0,0.9,38.0,0.8
480,1.0,0.9,39.0,0.8
481,0.9,0.9,0.0,0.6
482,0.9,0.9,1.0,1.0
483,0.9,0.9,2.0,1.0
484,0.9,0.9,3.0,1.0
485,0.9,0.9,4.0,1.0
486,0.9,0.9,5.0,1.0
487,0.9,0.9,6.0,1.0
488,0.9,0.9,7.0,1.0
489,0.9,0.9,8.0,1.0
490,0.9,0.9,9.0,1.0
491,0.9,0.9,10.0,1.0
492,0.9,0.9,11.0,1.0
493,0.9,0.9,12.0,1.0
494,0.9,0.9,13.0,1.0
495,0.9,0.9,14.0,1.0
496,0.9,0.9,15.0,1.0
497,0.9,0.9,16.0,1.0
498,0.9,0.9,17.0,1.0
499,0.9,0.9,18.0,1.0
500,0.9,0.9,19.0,1.0
501,0.9,0.9,20.0,1.0
502,0.9,0.9,21.0,1.0
503,0.9,0.9,22.0,1.0
504,0.9,0.9,23.0,1.0
505,0.9,0.9,24.0,1.0
506,0.9,0.9,25.0,1.0
507,0.9,0.9,26.0,1.0
508,0.9,0.9,27.0,1.0
509,0.9,0.9,28.0,0.8
510,0.9,0.9,29.0,0.8
511,0.9,0.9,30.0,0.8
512,0.9,0.9,31.0,0.8
513,0.9,0.9,32.0,0.8
514,0.9,0.9,33.0,0.8
515,0.9,0.9,34.0,0.8
516,0.9,0.9,35.0,0.8
