Index,Alpha,Gamma,Reward Coef,Accuracy
1,0.7,0.7,0.0,0.6
2,0.7,0.7,1.0,1.0
3,0.7,0.7,2.0,1.0
4,0.7,0.7,3.0,1.0
5,0.7,0.7,4.0,0.8
6,0.7,0.7,5.0,0.8
7,0.7,0.7,6.0,0.8
8,0.7,0.7,7.0,0.8
9,0.7,0.7,8.0,0.8
10,0.7,0.7,9.0,0.8
11,0.7,0.7,10.0,0.8
12,0.7,0.7,11.0,0.8
13,0.7,0.7,12.0,0.8
14,0.7,0.7,13.0,0.8
15,0.7,0.7,14.0,0.8
16,0.7,0.7,15.0,0.8
17,0.7,0.7,16.0,0.8
18,0.7,0.7,17.0,0.8
19,0.7,0.7,18.0,0.8
20,0.7,0.7,19.0,0.8
21,0.7,0.7,20.0,0.8
22,0.7,0.7,21.0,0.8
23,0.7,0.7,22.0,0.8
24,0.7,0.7,23.0,0.8
25,0.7,0.7,24.0,0.6
26,0.7,0.7,25.0,0.6
27,0.7,0.7,26.0,0.6
28,0.7,0.7,27.0,0.6
29,0.7,0.7,28.0,0.6
30,0.7,0.7,29.0,0.6
31,0.7,0.7999999999999999,0.0,0.6
32,0.7,0.7999999999999999,1.0,1.0
33,0.7,0.7999999999999999,2.0,1.0
34,0.7,0.7999999999999999,3.0,1.0
35,0.7,0.7999999999999999,4.0,1.0
36,0.7,0.7999999999999999,5.0,1.0
37,0.7,0.7999999999999999,6.0,1.0
38,0.7,0.7999999999999999,7.0,1.0
39,0.7,0.7999999999999999,8.0,1.0
40,0.7,0.7999999999999999,9.0,1.0
41,0.7,0.7999999999999999,10.0,1.0
42,0.7,0.7999999999999999,11.0,1.0
43,0.7,0.7999999999999999,12.0,0.8
44,0.7,0.7999999999999999,13.0,0.8
45,0.7,0.7999999999999999,14.0,0.8
46,0.7,0.7999999999999999,15.0,0.8
47,0.7,0.7999999999999999,16.0,0.8
48,0.7,0.7999999999999999,17.0,0.8
49,0.7,0.7999999999999999,18.0,0.8
50,0.7,0.7999999999999999,19.0,0.8
51,0.7,0.7999999999999999,20.0,0.8
52,0.7,0.7999999999999999,21.0,0.8
53,0.7,0.7999999999999999,22.0,0.8
